Country,“Overall I do not think vaccines are effective”percent,“Vaccines are not important for children to have”percent,Total population (Gapminder)
Slovenia,16.40%,13.20%,2.07 million
Solomon Islands,,,603000.00
Somalia,,,13.80 million
South Africa,9.90%,6.40%,55.39 million
South Korea,6.40%,4.70%,50.82 million
South Sudan,,,10.72 million
Spain,7.10%,5.80%,46.67 million
Sri Lanka,,,20.91 million
Sudan,,,38.90 million
Suriname,,,559000.00
Sweden,5.90%,4.30%,9.77 million
Switzerland,,,8.30 million
Syria,,,18.00 million
Taiwan,,,23.56 million
Tajikistan,,,8.45 million
Tanzania,,,51.48 million
Thailand,6.50%,2.10%,68.72 million
Timor,,,1.20 million
Togo,,,7.32 million
Tokelau,,,1000.00
Tonga,,,101000.00
Trinidad and Tobago,,,1.37 million
Tunisia,4.30%,1.90%,11.18 million
Turkey,8.30%,3.60%,78.53 million
Turkmenistan,,,5.57 million
Turks and Caicos Islands,,,36000.00
Tuvalu,,,11000.00
Uganda,,,38.23 million
Ukraine,15.40%,12.20%,44.92 million
United Arab Emirates,,,9.26 million
United Kingdom,7.00%,5.70%,65.86 million
United States,9.60%,8.80%,320.88 million
United States Virgin Islands,,,105000.00
Uruguay,,,3.41 million
Uzbekistan,,,30.93 million
Vanuatu,,,271000.00
Vatican,,,1000.00
Venezuela,,,30.08 million
Vietnam,4.60%,0.70%,92.68 million
Wallis and Futuna,,,12000.00
Western Sahara,,,526000.00
World,,,7.38 billion
Yemen,,,26.50 million
Zambia,,,15.88 million
Zimbabwe,,,13.81 million
